Image_Path,x1,y1,x2,y2,class
Data\Train\Images\10132_1.jpg,0.276,0.272,0.672,0.768,1
Data\Train\Images\10135_1.jpg,0.304,0.284,0.72,0.784,1
Data\Train\Images\10136_1.jpg,0.364,0.276,0.716,0.724,1
Data\Train\Images\10137_1.jpg,0.368,0.288,0.704,0.728,1
Data\Train\Images\1013_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\10140_1.jpg,0.312,0.284,0.652,0.72,1
Data\Train\Images\10143_1.jpg,0.3,0.296,0.684,0.732,1
Data\Train\Images\10144_1.jpg,0.336,0.276,0.712,0.74,1
Data\Train\Images\10149_1.jpg,0.312,0.256,0.672,0.756,1
Data\Train\Images\1014_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\1014_1.jpg,0.368,0.288,0.728,0.756,1
Data\Train\Images\10150_1.jpg,0.392,0.276,0.76,0.78,1
Data\Train\Images\10153_1.jpg,0.284,0.264,0.652,0.748,1
Data\Train\Images\10154_1.jpg,0.312,0.26,0.664,0.74,1
Data\Train\Images\10155_1.jpg,0.328,0.292,0.696,0.764,1
Data\Train\Images\10158_1.jpg,0.264,0.268,0.644,0.736,1
Data\Train\Images\1015_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\1015_1.jpg,0.236,0.244,0.692,0.812,1
Data\Train\Images\10160_1.jpg,0.296,0.256,0.676,0.756,1
Data\Train\Images\10162_1.jpg,0.296,0.252,0.7,0.792,1
Data\Train\Images\10163_1.jpg,0.332,0.26,0.72,0.752,1
Data\Train\Images\10166_1.jpg,0.316,0.288,0.664,0.728,1
Data\Train\Images\10167_1.jpg,0.304,0.272,0.664,0.736,1
Data\Train\Images\10168_1.jpg,0.356,0.292,0.68,0.704,1
Data\Train\Images\1016_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\10170_1.jpg,0.32,0.252,0.664,0.724,1
Data\Train\Images\10172_1.jpg,0.284,0.3,0.596,0.732,1
Data\Train\Images\10174_1.jpg,0.272,0.264,0.632,0.768,1
Data\Train\Images\10176_1.jpg,0.308,0.26,0.68,0.736,1
Data\Train\Images\10178_1.jpg,0.276,0.28,0.66,0.76,1
Data\Train\Images\10180_1.jpg,0.308,0.252,0.692,0.752,1
Data\Train\Images\10182_1.jpg,0.292,0.28,0.68,0.752,1
Data\Train\Images\10184_1.jpg,0.324,0.268,0.68,0.704,1
Data\Train\Images\10186_1.jpg,0.292,0.268,0.676,0.74,1
Data\Train\Images\10187_1.jpg,0.34,0.272,0.716,0.764,1
Data\Train\Images\10188_1.jpg,0.324,0.284,0.672,0.712,1
Data\Train\Images\10189_1.jpg,0.336,0.264,0.728,0.748,1
Data\Train\Images\10194_1.jpg,0.284,0.296,0.724,0.788,1
Data\Train\Images\10195_1.jpg,0.332,0.272,0.692,0.728,1
Data\Train\Images\1019_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\101_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\10200_1.jpg,0.332,0.244,0.712,0.784,1
Data\Train\Images\10204_1.jpg,0.328,0.244,0.696,0.712,1
Data\Train\Images\10206_1.jpg,0.264,0.284,0.632,0.74,1
Data\Train\Images\10209_1.jpg,0.26,0.272,0.632,0.736,1
Data\Train\Images\1020_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\1020_1.jpg,0.356,0.26,0.728,0.744,1
Data\Train\Images\10210_1.jpg,0.288,0.284,0.632,0.728,1
Data\Train\Images\10217_1.jpg,0.288,0.252,0.68,0.732,1
Data\Train\Images\10218_1.jpg,0.312,0.284,0.656,0.724,1
Data\Train\Images\1021_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\10220_1.jpg,0.32,0.292,0.68,0.712,1
Data\Train\Images\10223_1.jpg,0.296,0.248,0.712,0.784,1
Data\Train\Images\10224_1.jpg,0.288,0.264,0.644,0.724,1
Data\Train\Images\10227_1.jpg,0.292,0.288,0.62,0.716,1
Data\Train\Images\10228_1.jpg,0.28,0.3,0.588,0.704,1
Data\Train\Images\1022_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\1022_1.jpg,0.352,0.26,0.712,0.736,1
Data\Train\Images\10230_1.jpg,0.344,0.296,0.716,0.756,1
Data\Train\Images\10234_1.jpg,0.284,0.3,0.608,0.724,1
Data\Train\Images\10239_1.jpg,0.272,0.264,0.688,0.784,1
Data\Train\Images\1023_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\10241_1.jpg,0.284,0.276,0.668,0.756,1
Data\Train\Images\10242_1.jpg,0.324,0.292,0.692,0.752,1
Data\Train\Images\10243_1.jpg,0.336,0.292,0.708,0.736,1
Data\Train\Images\10248_1.jpg,0.404,0.284,0.72,0.696,1
Data\Train\Images\10249_1.jpg,0.3,0.268,0.676,0.768,1
Data\Train\Images\1024_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\1024_1.jpg,0.304,0.304,0.636,0.716,1
Data\Train\Images\10252_1.jpg,0.304,0.272,0.688,0.744,1
Data\Train\Images\10254_1.jpg,0.32,0.26,0.696,0.748,1
Data\Train\Images\10256_1.jpg,0.272,0.252,0.7,0.772,1
Data\Train\Images\10258_1.jpg,0.312,0.292,0.68,0.752,1
Data\Train\Images\10259_1.jpg,0.336,0.296,0.688,0.728,1
Data\Train\Images\1025_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\10261_1.jpg,0.316,0.268,0.72,0.76,1
Data\Train\Images\10263_1.jpg,0.332,0.268,0.732,0.78,1
Data\Train\Images\10265_1.jpg,0.276,0.268,0.68,0.784,1
Data\Train\Images\10266_1.jpg,0.312,0.292,0.676,0.736,1
Data\Train\Images\10267_1.jpg,0.312,0.304,0.672,0.752,1
Data\Train\Images\10268_1.jpg,0.292,0.268,0.656,0.744,1
Data\Train\Images\1026_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\1026_1.jpg,0.332,0.288,0.676,0.728,1
Data\Train\Images\10271_1.jpg,0.284,0.276,0.66,0.752,1
Data\Train\Images\10275_1.jpg,0.32,0.28,0.668,0.736,1
Data\Train\Images\10276_1.jpg,0.228,0.24,0.612,0.756,1
Data\Train\Images\10278_1.jpg,0.32,0.324,0.668,0.724,1
Data\Train\Images\10279_1.jpg,0.296,0.264,0.644,0.72,1
Data\Train\Images\10286_1.jpg,0.348,0.276,0.696,0.724,1
Data\Train\Images\10287_1.jpg,0.252,0.276,0.648,0.764,1
Data\Train\Images\10288_1.jpg,0.26,0.28,0.652,0.744,1
Data\Train\Images\1028_1.jpg,0.34,0.26,0.724,0.768,1
Data\Train\Images\10291_1.jpg,0.296,0.292,0.712,0.804,1
Data\Train\Images\10294_1.jpg,0.316,0.22,0.78,0.848,1
Data\Train\Images\10297_1.jpg,0.32,0.292,0.688,0.72,1
Data\Train\Images\10299_1.jpg,0.352,0.256,0.72,0.752,1
Data\Train\Images\1029_1.jpg,0.316,0.272,0.68,0.752,1
Data\Train\Images\102_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\10302_1.jpg,0.308,0.276,0.66,0.732,1
Data\Train\Images\10306_1.jpg,0.304,0.264,0.688,0.764,1
Data\Train\Images\10307_1.jpg,0.308,0.28,0.656,0.72,1
Data\Train\Images\1030_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\10310_1.jpg,0.32,0.252,0.672,0.728,1
Data\Train\Images\10311_1.jpg,0.284,0.3,0.624,0.712,1
Data\Train\Images\10314_1.jpg,0.312,0.284,0.688,0.736,1
Data\Train\Images\10316_1.jpg,0.316,0.26,0.696,0.748,1
Data\Train\Images\10318_1.jpg,0.224,0.232,0.628,0.792,1
Data\Train\Images\1031_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\10321_1.jpg,0.244,0.26,0.6,0.74,1
Data\Train\Images\10322_1.jpg,0.288,0.264,0.7,0.764,1
Data\Train\Images\10323_1.jpg,0.26,0.268,0.672,0.748,1
Data\Train\Images\10325_1.jpg,0.34,0.288,0.756,0.784,1
Data\Train\Images\10326_1.jpg,0.288,0.28,0.672,0.744,1
Data\Train\Images\10327_1.jpg,0.284,0.248,0.684,0.744,1
Data\Train\Images\10328_1.jpg,0.3,0.256,0.68,0.748,1
Data\Train\Images\1032_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\1032_1.jpg,0.3,0.272,0.684,0.752,1
Data\Train\Images\10332_1.jpg,0.284,0.256,0.64,0.728,1
Data\Train\Images\10335_1.jpg,0.244,0.272,0.632,0.784,1
Data\Train\Images\10336_1.jpg,0.32,0.276,0.684,0.728,1
Data\Train\Images\1033_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\1033_1.jpg,0.324,0.292,0.692,0.74,1
Data\Train\Images\10343_1.jpg,0.304,0.24,0.7,0.772,1
Data\Train\Images\10344_1.jpg,0.296,0.284,0.628,0.752,1
Data\Train\Images\10347_1.jpg,0.26,0.26,0.648,0.764,1
Data\Train\Images\10349_1.jpg,0.28,0.264,0.648,0.76,1
Data\Train\Images\1034_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\10350_1.jpg,0.336,0.288,0.724,0.752,1
Data\Train\Images\10351_1.jpg,0.388,0.292,0.728,0.72,1
Data\Train\Images\10353_1.jpg,0.336,0.268,0.72,0.748,1
Data\Train\Images\10354_1.jpg,0.3,0.292,0.632,0.72,1
Data\Train\Images\10359_1.jpg,0.296,0.268,0.656,0.728,1
Data\Train\Images\1035_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\10360_1.jpg,0.328,0.284,0.708,0.756,1
Data\Train\Images\10363_1.jpg,0.312,0.264,0.68,0.744,1
Data\Train\Images\10364_1.jpg,0.308,0.296,0.616,0.716,1
Data\Train\Images\10366_1.jpg,0.352,0.296,0.692,0.724,1
Data\Train\Images\1036_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\10374_1.jpg,0.308,0.256,0.696,0.736,1
Data\Train\Images\10375_1.jpg,0.256,0.256,0.652,0.744,1
Data\Train\Images\10376_1.jpg,0.304,0.284,0.644,0.716,1
Data\Train\Images\10382_1.jpg,0.292,0.256,0.676,0.748,1
Data\Train\Images\10385_1.jpg,0.308,0.272,0.672,0.74,1
Data\Train\Images\10386_1.jpg,0.332,0.248,0.708,0.76,1
Data\Train\Images\1038_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\1038_1.jpg,0.28,0.26,0.636,0.736,1
Data\Train\Images\10394_1.jpg,0.392,0.292,0.7,0.728,1
Data\Train\Images\10395_1.jpg,0.348,0.284,0.704,0.728,1
Data\Train\Images\1039_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\10402_1.jpg,0.348,0.296,0.68,0.736,1
Data\Train\Images\10403_1.jpg,0.316,0.296,0.62,0.7,1
Data\Train\Images\10404_1.jpg,0.332,0.28,0.704,0.74,1
Data\Train\Images\1040_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\1040_1.jpg,0.276,0.28,0.604,0.708,1
Data\Train\Images\10410_1.jpg,0.32,0.288,0.676,0.74,1
Data\Train\Images\10411_1.jpg,0.336,0.224,0.696,0.708,1
Data\Train\Images\10412_1.jpg,0.332,0.256,0.708,0.752,1
Data\Train\Images\10414_1.jpg,0.36,0.272,0.736,0.756,1
Data\Train\Images\10416_1.jpg,0.316,0.268,0.692,0.736,1
Data\Train\Images\10417_1.jpg,0.264,0.268,0.612,0.744,1
Data\Train\Images\10419_1.jpg,0.348,0.292,0.708,0.74,1
Data\Train\Images\1041_1.jpg,0.352,0.26,0.732,0.752,1
Data\Train\Images\10422_1.jpg,0.324,0.28,0.672,0.728,1
Data\Train\Images\10424_1.jpg,0.352,0.312,0.648,0.68,1
Data\Train\Images\10425_1.jpg,0.328,0.272,0.688,0.728,1
Data\Train\Images\10426_1.jpg,0.296,0.264,0.676,0.72,1
Data\Train\Images\1042_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\10431_1.jpg,0.32,0.272,0.672,0.732,1
Data\Train\Images\10434_1.jpg,0.332,0.264,0.676,0.716,1
Data\Train\Images\10437_1.jpg,0.268,0.252,0.668,0.744,1
Data\Train\Images\10438_1.jpg,0.256,0.236,0.648,0.724,1
Data\Train\Images\1043_1.jpg,0.348,0.252,0.716,0.752,1
Data\Train\Images\10441_1.jpg,0.344,0.268,0.692,0.72,1
Data\Train\Images\10445_1.jpg,0.292,0.264,0.664,0.748,1
Data\Train\Images\1044_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\10450_1.jpg,0.28,0.3,0.648,0.744,1
Data\Train\Images\10452_1.jpg,0.336,0.292,0.688,0.724,1
Data\Train\Images\10453_1.jpg,0.264,0.28,0.624,0.744,1
Data\Train\Images\10454_1.jpg,0.312,0.284,0.688,0.732,1
Data\Train\Images\10457_1.jpg,0.288,0.252,0.68,0.764,1
Data\Train\Images\10464_1.jpg,0.26,0.268,0.668,0.74,1
Data\Train\Images\10465_1.jpg,0.288,0.292,0.652,0.736,1
Data\Train\Images\10467_1.jpg,0.288,0.264,0.66,0.744,1
Data\Train\Images\10468_1.jpg,0.3,0.296,0.68,0.74,1
Data\Train\Images\10469_1.jpg,0.34,0.292,0.704,0.748,1
Data\Train\Images\1046_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\10470_1.jpg,0.304,0.296,0.652,0.736,1
Data\Train\Images\10471_1.jpg,0.316,0.28,0.668,0.728,1
Data\Train\Images\10472_1.jpg,0.312,0.268,0.68,0.736,1
Data\Train\Images\10473_1.jpg,0.336,0.256,0.712,0.748,1
Data\Train\Images\10478_1.jpg,0.324,0.268,0.72,0.764,1
Data\Train\Images\10479_1.jpg,0.296,0.276,0.68,0.74,1
Data\Train\Images\1047_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\1047_1.jpg,0.352,0.248,0.736,0.736,1
Data\Train\Images\10481_1.jpg,0.3,0.308,0.628,0.708,1
Data\Train\Images\10482_1.jpg,0.304,0.268,0.692,0.736,1
Data\Train\Images\10483_1.jpg,0.352,0.3,0.676,0.716,1
Data\Train\Images\10484_1.jpg,0.276,0.28,0.684,0.768,1
Data\Train\Images\10485_1.jpg,0.268,0.276,0.676,0.772,1
Data\Train\Images\1048_1.jpg,0.28,0.252,0.66,0.752,1
Data\Train\Images\10490_1.jpg,0.332,0.3,0.684,0.724,1
Data\Train\Images\10491_1.jpg,0.312,0.272,0.676,0.724,1
Data\Train\Images\10492_1.jpg,0.256,0.272,0.628,0.724,1
Data\Train\Images\10493_1.jpg,0.28,0.288,0.636,0.732,1
Data\Train\Images\10495_1.jpg,0.288,0.272,0.668,0.748,1
Data\Train\Images\10496_1.jpg,0.3,0.304,0.644,0.744,1
Data\Train\Images\10499_1.jpg,0.312,0.288,0.672,0.736,1
Data\Train\Images\1049_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\104_1.jpg,0.308,0.292,0.668,0.72,1
Data\Train\Images\10500_1.jpg,0.288,0.288,0.64,0.732,1
Data\Train\Images\10501_1.jpg,0.272,0.288,0.632,0.756,1
Data\Train\Images\10502_1.jpg,0.36,0.284,0.724,0.744,1
Data\Train\Images\10503_1.jpg,0.292,0.296,0.668,0.756,1
Data\Train\Images\10507_1.jpg,0.252,0.304,0.588,0.728,1
Data\Train\Images\10509_1.jpg,0.264,0.28,0.628,0.736,1
Data\Train\Images\1050_1.jpg,0.344,0.296,0.688,0.732,1
Data\Train\Images\10513_1.jpg,0.276,0.288,0.636,0.752,1
Data\Train\Images\10514_1.jpg,0.28,0.256,0.644,0.732,1
Data\Train\Images\10519_1.jpg,0.32,0.252,0.68,0.736,1
Data\Train\Images\1051_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\1051_1.jpg,0.36,0.292,0.716,0.768,1
Data\Train\Images\10523_1.jpg,0.316,0.268,0.68,0.748,1
Data\Train\Images\10527_1.jpg,0.292,0.288,0.632,0.72,1
Data\Train\Images\1052_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\10532_1.jpg,0.32,0.296,0.672,0.728,1
Data\Train\Images\10536_1.jpg,0.324,0.288,0.672,0.72,1
Data\Train\Images\1053_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\10549_1.jpg,0.3,0.308,0.608,0.732,1
Data\Train\Images\1054_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\10552_1.jpg,0.268,0.272,0.668,0.78,1
Data\Train\Images\10556_1.jpg,0.364,0.236,0.744,0.748,1
Data\Train\Images\10558_1.jpg,0.328,0.272,0.68,0.736,1
Data\Train\Images\1055_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\10562_1.jpg,0.348,0.284,0.716,0.732,1
Data\Train\Images\10564_1.jpg,0.36,0.292,0.712,0.732,1
Data\Train\Images\10565_1.jpg,0.28,0.256,0.664,0.74,1
Data\Train\Images\10566_1.jpg,0.26,0.18,0.688,0.732,1
Data\Train\Images\10569_1.jpg,0.292,0.3,0.668,0.788,1
Data\Train\Images\1056_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\10570_1.jpg,0.348,0.284,0.728,0.752,1
Data\Train\Images\10574_1.jpg,0.404,0.288,0.74,0.768,1
Data\Train\Images\10575_1.jpg,0.304,0.28,0.664,0.756,1
Data\Train\Images\10576_1.jpg,0.284,0.288,0.636,0.716,1
Data\Train\Images\10577_1.jpg,0.304,0.268,0.648,0.728,1
Data\Train\Images\10578_1.jpg,0.292,0.272,0.66,0.748,1
Data\Train\Images\10579_1.jpg,0.328,0.284,0.656,0.676,1
Data\Train\Images\1057_1.jpg,0.264,0.272,0.652,0.748,1
Data\Train\Images\10580_1.jpg,0.312,0.264,0.664,0.712,1
Data\Train\Images\10581_1.jpg,0.356,0.256,0.724,0.736,1
Data\Train\Images\10582_1.jpg,0.344,0.3,0.692,0.784,1
Data\Train\Images\10586_1.jpg,0.348,0.288,0.716,0.752,1
Data\Train\Images\10589_1.jpg,0.316,0.232,0.692,0.72,1
Data\Train\Images\1058_1.jpg,0.348,0.288,0.7,0.744,1
Data\Train\Images\10590_1.jpg,0.304,0.24,0.684,0.776,1
Data\Train\Images\10591_1.jpg,0.328,0.248,0.712,0.74,1
Data\Train\Images\10592_1.jpg,0.292,0.264,0.668,0.736,1
Data\Train\Images\10597_1.jpg,0.332,0.276,0.704,0.744,1
Data\Train\Images\10599_1.jpg,0.272,0.276,0.676,0.752,1
Data\Train\Images\1059_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\105_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\10603_1.jpg,0.296,0.268,0.66,0.748,1
Data\Train\Images\10605_1.jpg,0.248,0.272,0.62,0.756,1
Data\Train\Images\10606_1.jpg,0.328,0.304,0.672,0.728,1
Data\Train\Images\10607_1.jpg,0.26,0.248,0.692,0.764,1
Data\Train\Images\10610_1.jpg,0.316,0.292,0.684,0.744,1
Data\Train\Images\10615_1.jpg,0.316,0.264,0.704,0.764,1
Data\Train\Images\10618_1.jpg,0.34,0.252,0.696,0.728,1
Data\Train\Images\1061_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\10620_1.jpg,0.28,0.284,0.64,0.744,1
Data\Train\Images\10621_1.jpg,0.38,0.268,0.748,0.732,1
Data\Train\Images\10629_1.jpg,0.36,0.276,0.716,0.756,1
Data\Train\Images\1062_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\1062_1.jpg,0.292,0.296,0.616,0.716,1
Data\Train\Images\10632_1.jpg,0.372,0.264,0.72,0.736,1
Data\Train\Images\10637_1.jpg,0.34,0.252,0.728,0.736,1
Data\Train\Images\10638_1.jpg,0.308,0.256,0.708,0.752,1
Data\Train\Images\1063_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\10641_1.jpg,0.316,0.256,0.684,0.724,1
Data\Train\Images\10648_1.jpg,0.288,0.252,0.68,0.752,1
Data\Train\Images\1064_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\1064_1.jpg,0.356,0.3,0.704,0.704,1
Data\Train\Images\10650_1.jpg,0.276,0.268,0.644,0.768,1
Data\Train\Images\10652_1.jpg,0.32,0.272,0.684,0.728,1
Data\Train\Images\10653_1.jpg,0.296,0.308,0.66,0.748,1
Data\Train\Images\10655_1.jpg,0.36,0.272,0.776,0.808,1
Data\Train\Images\10658_1.jpg,0.256,0.268,0.632,0.74,1
Data\Train\Images\1065_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\10665_1.jpg,0.288,0.28,0.648,0.732,1
Data\Train\Images\10666_1.jpg,0.36,0.288,0.716,0.74,1
Data\Train\Images\10667_1.jpg,0.332,0.272,0.684,0.728,1
Data\Train\Images\10668_1.jpg,0.264,0.264,0.656,0.776,1
Data\Train\Images\1066_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\10671_1.jpg,0.212,0.208,0.664,0.764,1
Data\Train\Images\10672_1.jpg,0.304,0.292,0.684,0.752,1
Data\Train\Images\10674_1.jpg,0.332,0.264,0.712,0.736,1
Data\Train\Images\10676_1.jpg,0.288,0.268,0.664,0.74,1
Data\Train\Images\1067_1.jpg,0.308,0.3,0.66,0.736,1
Data\Train\Images\10680_1.jpg,0.296,0.296,0.62,0.712,1
Data\Train\Images\10681_1.jpg,0.312,0.24,0.712,0.764,1
Data\Train\Images\10682_1.jpg,0.316,0.276,0.672,0.732,1
Data\Train\Images\10683_1.jpg,0.316,0.3,0.672,0.728,1
Data\Train\Images\10684_1.jpg,0.304,0.26,0.68,0.732,1
Data\Train\Images\10687_1.jpg,0.256,0.284,0.628,0.732,1
Data\Train\Images\10688_1.jpg,0.356,0.26,0.692,0.74,1
Data\Train\Images\1068_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\1068_1.jpg,0.32,0.276,0.664,0.716,1
Data\Train\Images\10690_1.jpg,0.28,0.296,0.628,0.748,1
Data\Train\Images\10692_1.jpg,0.328,0.296,0.656,0.704,1
Data\Train\Images\10693_1.jpg,0.344,0.268,0.712,0.732,1
Data\Train\Images\10694_1.jpg,0.304,0.272,0.688,0.74,1
Data\Train\Images\10699_1.jpg,0.276,0.256,0.636,0.72,1
Data\Train\Images\1069_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\106_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\10701_1.jpg,0.312,0.256,0.708,0.732,1
Data\Train\Images\10705_1.jpg,0.264,0.272,0.648,0.764,1
Data\Train\Images\10707_1.jpg,0.256,0.252,0.636,0.768,1
Data\Train\Images\10708_1.jpg,0.252,0.244,0.664,0.808,1
Data\Train\Images\10709_1.jpg,0.316,0.3,0.668,0.736,1
Data\Train\Images\1070_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\10710_1.jpg,0.316,0.288,0.68,0.74,1
Data\Train\Images\10711_1.jpg,0.328,0.26,0.708,0.78,1
Data\Train\Images\10713_1.jpg,0.324,0.272,0.676,0.728,1
Data\Train\Images\10716_1.jpg,0.316,0.292,0.676,0.74,1
Data\Train\Images\10717_1.jpg,0.248,0.264,0.636,0.784,1
Data\Train\Images\10718_1.jpg,0.304,0.236,0.676,0.732,1
Data\Train\Images\1071_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\10722_1.jpg,0.332,0.284,0.7,0.752,1
